type,value,description,source,confidence,mitre_technique,action_required
File,mimikatz.exe,Credential extraction binary - C:\NulltackLab\mimikatz-master\x64\,Sysmon EID 1/10 / Volatility,HIGH,T1003.001,REMOVE
File,memory.raw,RAM acquisition artifact 4GB - C:\NulltackLab\evidence\memory.raw,DumpIt / Volatility 3,HIGH,,PRESERVE_EVIDENCE
Hash_SHA256,92804FAAAB2175DC501D73E814663058C78C0A042675A8937266357BCFB96C50,mimikatz.exe binary hash - identical across ALL execution instances,Sysmon EID 1 (all runs),HIGH,T1003.001,BLOCK_HASH
Path,C:\NulltackLab\NulltackKatz.py,Payload execution path,Sysmon EID 1,HIGH,T1204.002,REMOVE
Path,C:\NulltackLab\mimikatz-master\x64\mimikatz.exe,Mimikatz installation path,Sysmon EID 1/10,HIGH,T1003.001,REMOVE
Path,C:\NulltackLab\evidence\memory.raw,RAM image location,DumpIt / Volatility,HIGH,,PRESERVE_EVIDENCE
User_Account,Shell (SID: S-1-5-21-672327993-1804208324-2312081050-1001),Compromised victim account - NTLM hash fully exposed,Sysmon EID 1 + mimikatz sekurlsa,HIGH,T1003.001,RESET_IMMEDIATELY
User_Account,Administrator (RID 500),Admin account - NTLM hash and plaintext Admin123! exposed,exfiltration_report_BLUEDELTA,HIGH,T1003.001,RESET_IMMEDIATELY
NTLM_Hash,31d6cfe0d16ae931b73c59d7e0c089c0,Shell account NT hash - usable for Pass-the-Hash lateral movement,mimikatz sekurlsa::logonpasswords,HIGH,T1021,RESET_IMMEDIATELY
NTLM_Hash,8846f7eaee8fb117ad06bdd830b7586c,Guest/Shell account hash variant,mimikatz output,HIGH,T1021,RESET_IMMEDIATELY
SHA1_Hash,da39a3ee5e6b4b0d3255bfef95601890afd80709,Shell credential SHA1 (empty hash - indicates no password),mimikatz output,HIGH,,RESET_IMMEDIATELY
Registry_Key,HKLM\SYSTEM\CurrentControlSet\Control\Lsa (RunAsPPL=0),PPL not enabled - allowed mimikatz LSASS access without bypass,Forensic analysis,HIGH,T1003.001,REMEDIATE
Protocol,TLSv1.3,Encrypted exfiltration transport - TLS 1.3 used to conceal 3834-byte credential payload,Wireshark PCAP frames 106/137,HIGH,T1041,INSPECT_SNI
MITRE_ID,T1566.001,Spearphishing Attachment - confirmed via phishing email analysis,phishing_email_BLUEDELTA.txt,HIGH,T1566.001,DETECT
MITRE_ID,T1204.002,Malicious File Execution - confirmed via Sysmon EID 1,Sysmon EID 1 / NulltackKatz logs,HIGH,T1204.002,DETECT
MITRE_ID,T1087.001,Local Account Discovery - net user command confirmed,exfiltration_report section 2,HIGH,T1087.001,DETECT
MITRE_ID,T1016,Network Configuration Discovery - ipconfig /all confirmed,exfiltration_report section 3,HIGH,T1016,DETECT
MITRE_ID,T1057,Process Discovery - tasklist command confirmed,NulltackKatz execution logs,HIGH,T1057,DETECT
MITRE_ID,T1134,Access Token Manipulation - SeDebugPrivilege confirmed,mimikatz output - Privilege 20 OK,HIGH,T1134,DETECT
MITRE_ID,T1003.001,OS Credential Dumping LSASS - confirmed via Sysmon EID 10 + Volatility,Sysmon EID 10 + Volatility handles,HIGH,T1003.001,DETECT
MITRE_ID,T1041,Exfiltration Over C2 Channel - Gmail SMTP TLS confirmed,Wireshark PCAP + Sysmon EID 3,HIGH,T1041,DETECT
MITRE_ID,T1021,Remote Services Potential - NTLM hashes available for PtH,exfiltration_report T1021 mentioned,MEDIUM,T1021,INVESTIGATE
Phishing_Subject,URGENT: Payroll System Security Update Required,Simple urgency lure - first phishing email,phishing_email_BLUEDELTA_*.txt,HIGH,T1566.001,BLOCK
Phishing_Subject,[ACTION REQUIRED BY EOD] DHS Directive 2025-09,Advanced DHS directive lure - second phishing email,Email received,HIGH,T1566.001,BLOCK
Fake_CVE,CVE-2025-2847,Fabricated CVE reference in DHS Directive lure - does not exist,phishing_email_BLUEDELTA,HIGH,T1566.001,AWARENESS
Delivery_URL,drive.google.com/file/d/1tpFjOmPWBGw21YLneFRgqN6st8IehZd5,NulltackKatz.py payload delivery URL via Google Drive,phishing_email_BLUEDELTA,HIGH,T1566.001,BLOCK
